,name,ratting,reviews,salaries,company_details
648,IFB,3.7,1.1k,5k,Consumer Electronics & Appliances | Kolkata +143 other locations
649,Dell EMC,4.1,1.1k,10.9k,IT Services & Consulting | Hopkinton +52 other locations
650,Health Care Global Enterprises,4.2,1.1k,2.6k,Healthcare | Bangalore/Bengaluru +44 other locations
651,Sony,4.3,1.1k,4.5k,Consumer Electronics & Appliances | Delhi/NCR +126 other locations
652,ISS Facility Services,4.2,1.1k,3.9k,Facility Management Services | Copenhagen +58 other locations
653,Daimler India Commercial Vehicles,4.1,1.1k,6.5k,Automobile | Chennai +40 other locations
654,Redcliffe Labs,4.4,1.1k,1.5k,Healthcare | Noida +80 other locations
655,Granules India,3.9,1.1k,5.6k,Pharma | Hyderabad/Secunderabad +15 other locations
656,Narayana Educational Society,3.7,1.1k,4.2k,Education & Training | Hyderabad/Secunderabad +133 other locations
657,Paytm Payments Bank,3.9,1.1k,6.2k,Banking | Noida +115 other locations
658,Broadridge Financial Solutions,4.0,1.1k,10.2k,FinTech | New York City +10 other locations
659,GMR Group,4.1,1.1k,4.5k,Engineering & Construction | Delhi/NCR +58 other locations
660,Xyz Company,3.8,1.1k,29.9k,Financial Services | Doha +94 other locations
661,K12 Techno Services,2.9,1.1k,4.6k,EdTech | Bangalore/Bengaluru +35 other locations
662,Piramal Group,3.9,1.1k,4.6k,Pharma | Mumbai +125 other locations
663,Caterpillar Inc,4.3,1.1k,8.8k,Industrial Machinery | Deerfield +35 other locations
664,Gland Pharma,3.8,1.1k,5.9k,Pharma | Hyderabad +28 other locations
665,Goldman Sachs,3.6,1.1k,16.5k,New York +21 other locations
666,Annapurna Finance,4.1,1.1k,3.4k,NBFC | Bhubaneswar +296 other locations
667,GE Vernova,4.1,1.1k,4.6k,Power | Nakhatrana +77 other locations
668,Jindal X,3.4,1.1k,2.9k,BPO | New Delhi +19 other locations
669,Supreme Industries,4.1,1.1k,5.2k,Petrochemicals | Mumbai +97 other locations
670,Nayara Energy,4.2,1.1k,5.6k,Petrochemicals | Mumbai +79 other locations
671,Sanofi,4.3,1.1k,4.3k,Pharma | Paris +78 other locations
672,Evalueserve,3.3,1.1k,9.8k,IT Services & Consulting | Switzerland +13 other locations
673,Godrej Industries Group,4.0,1.1k,2.9k,Chemicals | Mumbai +127 other locations
674,NSE.IT,3.6,1.1k,6.2k,IT Services & Consulting | Mumbai +144 other locations
675,J. Kumar Infraprojects,4.1,1.1k,4.5k,Engineering & Construction | Mumbai +33 other locations
676,Xiaomi,3.9,1.1k,5.6k,Consumer Electronics & Appliances | Haidian District +186 other locations
677,FastInfo,4.4,1.1k,754,Kolkata +9 other locations
678,Compass Group Support Services,4.1,1.1k,5k,Facility Management Services | London +64 other locations
679,Gujarat Fluorochemicals,4.0,1.1k,5.8k,Chemicals | Noida +25 other locations
680,Pantaloons,4.2,1.1k,2.9k,Fashion & Textile | Mumbai +144 other locations
681,Canara Bank,3.4,1.1k,3.7k,Banking | Bangalore/Bengaluru +177 other locations
682,CorroHealth,3.3,1.1k,5.2k,Analytics & KPO | Rajapalayam +22 other locations
683,Tanishq,4.4,1.1k,2.8k,Bangalore/Bengaluru +202 other locations
684,Ashoka Buildcon,4.1,1.1k,4k,Engineering & Construction | Nasik/Nashik +137 other locations
685,ITD Cementation India,4.3,1.1k,4k,Engineering & Construction | Mumbai +74 other locations
686,Sysnet Global Technologies,3.6,1.1k,3.9k,IT Services & Consulting | Delhi/NCR +118 other locations
687,Heritage Foods,4.1,1.1k,3.6k,Food Processing | Hyderabad/Secunderabad +102 other locations
688,Spicejet,3.6,1.1k,5.4k,Aviation | Gurgaon/Gurugram +59 other locations
689,VLCC,3.6,1.1k,3.3k,Beauty & Personal Care | Delhi/NCR +101 other locations
690,Asahi India Glass,3.9,1.1k,4.7k,Auto Components | Gurgaon/Gurugram +65 other locations
691,CSB Bank,3.2,1.1k,5.9k,Banking | Thrissur/Trichur +171 other locations
692,GE,4.3,1.1k,7.8k,Defence & Aerospace | Boston +65 other locations
693,Lumax Industries,4.0,1.1k,5.3k,Auto Components | Pune +31 other locations
694,Bharat FIH,4.0,1.1k,5.5k,Electronics Manufacturing | Kancheepuram +33 other locations
695,AtkinsRealis,4.0,1.1k,5k,Engineering & Construction | Montreal +54 other locations
696,Lavender Technology,5.0,1.1k,15,IT Services & Consulting | USA +5 other locations
697,Amul India,4.1,1.1k,3.1k,Food Processing | Anand +176 other locations
698,Amity University,3.6,1.1k,5k,Education & Training | Noida +78 other locations
699,Devyani International,3.9,1.1k,3.2k,Hospitality | Gurugram +101 other locations
700,Fabindia,3.9,1.1k,4.3k,Fashion & Textile | Delhi/NCR +81 other locations
701,Panasonic,4.1,1.1k,5.4k,Consumer Electronics & Appliances | Kadoma +112 other locations
702,Valeo,4.0,1.1k,7.6k,Auto Components | Paris +19 other locations
703,Godrej Properties,3.7,1.1k,6.6k,Real Estate | Mumbai +27 other locations
704,Tata 1mg,3.7,1.1k,5.5k,Internet | Gurgaon +54 other locations
705,Unisys,3.8,1.1k,10.1k,IT Services & Consulting | Blue Bell +15 other locations
706,Hindustan Construction Company,4.2,1.1k,3.6k,Engineering & Construction | Mumbai +82 other locations
707,Bharat Forge,3.8,1.1k,5.7k,Auto Components | Pune +24 other locations
708,Tekwissen,4.9,1.1k,449,IT Services & Consulting | Visakhapatnam +5 other locations
709,SRL Diagnostics,4.1,1.1k,3.4k,Healthcare | Mumbai +120 other locations
710,VMware Software,4.4,1.1k,10.6k,Software Product | Palo Alto +18 other locations
711,Aptara,3.3,1.1k,6.1k,Content Development | Falls Church +11 other locations
712,CIE Automotive,3.7,1.1k,4.6k,Auto Components | Medak +42 other locations
713,Infinx,3.7,1.1k,4.5k,Software Product | Mumbai +29 other locations
714,Inox Leisure,4.1,--,--,Media & Entertainment | Mumbai +86 other locations
715,Capri Global Capital,3.6,1.1k,3.4k,NBFC | Mumbai +240 other locations
716,Bisleri,4.2,1.1k,3.9k,Beverage | Mumbai +140 other locations
717,MiraMed Ajuba,4.0,1.1k,4.4k,BPO | Chennai +17 other locations
718,Indoco Remedies,3.6,1.1k,5.3k,Pharma | Mumbai +73 other locations
719,TELUS International Philippines,3.8,1.1k,7.8k,IT Services & Consulting | Vancouver +15 other locations
720,Hitachi Astemo,4.1,1.1k,5k,Auto Components | Greater Noida +36 other locations
721,QualityKiosk Technologies,3.5,1.1k,9.9k,IT Services & Consulting | Mumbai +17 other locations
722,Sharekhan,4.0,1.1k,4.9k,Financial Services | Mumbai +110 other locations
723,Unichem Laboratories,3.9,1.1k,5k,Pharma | Mumbai +69 other locations
724,Jakson Group,4.4,1.1k,3.5k,Power | Noida +88 other locations
725,Barclays Shared Services,3.9,1.1k,5.8k,IT Services & Consulting | London +14 other locations
726,Pristyn Care,3.9,1.1k,3.9k,Healthcare | Delhi +29 other locations
727,Provana,4.0,1.1k,3.3k,IT Services & Consulting | Lisle +7 other locations
728,Clover Infotech,3.6,1.1k,10.4k,IT Services & Consulting | Mumbai +17 other locations
729,Indegene,3.5,1.1k,8.2k,Analytics & KPO | Princeton +24 other locations
730,Suryoday Small Finance Bank,4.0,1.1k,4.2k,Banking | Mumbai +172 other locations
731,ZF Commercial Vehicle Control Systems,3.9,1.1k,2.6k,Auto Components | Bhopal +34 other locations
732,Vfs Global Services,3.7,1k,4k,IT Services & Consulting | Mumbai +28 other locations
733,Jet Airways,4.6,1k,3.3k,Aviation | Mumbai +43 other locations
734,Steel Strips Wheels,3.7,1k,5.3k,Auto Components | Chandigarh +35 other locations
735,Ocwen Financial Solutions,4.0,1k,5.1k,Financial Services | West Palm Beach +7 other locations
736,Schindler,4.0,1k,4.5k,Industrial Machinery | Coimbatore +62 other locations
737,Wheelseye Technology,3.7,1k,3.1k,Internet | Gurgaon +190 other locations
738,Synchrony,4.4,1k,5.1k,Financial Services | Stamford +9 other locations
739,Infogain,3.6,1k,10.8k,IT Services & Consulting | Los Gatos +17 other locations
740,Kantar,3.5,1k,6.3k,Analytics & KPO | London +33 other locations
741,SAI Life Sciences,3.9,1k,5.2k,Clinical Research | Hyderabad +18 other locations
742,Edelweiss,3.8,1k,7.3k,Financial Services | Mumbai +109 other locations
743,Cinépolis,4.0,1k,2.9k,Media & Entertainment | Morelia +56 other locations
744,Burger King,3.9,1k,3.3k,Hospitality | Miami +97 other locations
745,Dixon Technologies,4.1,1k,5k,Electronics Manufacturing | Noida +34 other locations
746,IndiaFirst Life Insurance,3.9,1k,3.4k,Insurance | Mumbai +193 other locations
747,EOSGlobe,3.1,1k,3.6k,Thane +17 other locations
748,FOCUS EDUMATICS,3.3,1k,2.8k,EdTech | Bangalore/Bengaluru +19 other locations
749,Tata AutoComp Systems,3.9,1k,5.6k,Auto Components | Pune +36 other locations
750,Amara Raja Energy & Mobility,4.2,1k,3.7k,Auto Components | Tadepalligudem +74 other locations
751,Fino Payments Bank,3.9,1k,4k,Banking | Mumbai +225 other locations
752,FDC,4.0,1k,3.5k,Pharma | Mumbai +103 other locations
753,ReNew,4.2,1k,5k,Power | Gurugram +87 other locations
754,Iffco Tokio General Insurance Co.,4.0,1k,3.9k,Insurance | Gurgaon/Gurugram +238 other locations
755,Northern Trust Operating Services,4.0,1k,7.1k,Financial Services | Chicago +16 other locations
756,Patanjali Foods,3.9,1k,3.3k,FMCG | Mumbai +165 other locations
757,Morningstar,3.9,1k,8.2k,Financial Services | Chicago +16 other locations
758,BVG India,4.0,1k,3.7k,Facility Management Services | Pune +97 other locations
759,IIFL SAMASTA,4.0,1k,2.6k,NBFC | Bhiwani +295 other locations
760,ECIL,4.2,1k,3.4k,Electronics Manufacturing | Hyderabad/Secunderabad +42 other locations
761,Sansera Engineering,4.2,1k,4.7k,Auto Components | Bangalore/Bengaluru +25 other locations
762,Apco Infratech,3.8,1k,4k,Engineering & Construction | Lucknow +77 other locations
763,VIBGYOR Group of Schools,3.7,1k,4k,Mumbai +31 other locations
764,Continental Automotive Components,4.2,998,8.6k,Auto Components | Lower Saxony +20 other locations
765,NTT DATA Business Solutions,3.8,996,10k,IT Services & Consulting | Mumbai +26 other locations
766,Punjab National Bank,4.0,993,2.8k,Banking | Delhi/NCR +184 other locations
767,Hinduja Leyland Finance,4.0,993,2.5k,NBFC | Chennai +240 other locations
768,AGS Transact Technologies,3.3,992,4.1k,FinTech | Mumbai +103 other locations
769,Adobe,4.0,992,10.9k,Software Product | San Jose +15 other locations
770,DCM Shriram,4.2,990,4.4k,Chemicals | Delhi/NCR +85 other locations
771,Urban Company,3.5,989,5k,Internet | Gurgaon +51 other locations
772,SYSKA LED Lights,2.8,988,2.7k,Consumer Electronics & Appliances | Pune +153 other locations
773,Oil And Natural Gas Corporation,4.3,989,3.4k,Oil & Gas | Delhi/NCR +68 other locations
774,Jaquar,4.1,988,4.4k,Building Material | Gurgaon +93 other locations
775,Fidelity National Financial,3.8,986,5.9k,Financial Services | Bangalore Rural +10 other locations
776,Amneal Pharmaceuticals,4.2,984,5.2k,Bridgewater +27 other locations
777,Tata Electronics,4.0,981,5.6k,Semiconductors | Mumbai +22 other locations
778,Atul,3.9,982,4.9k,Chemicals | Valsad +56 other locations
779,Eaton Corporation,4.0,980,7.1k,Power | Cleveland +21 other locations
780,SKF,4.1,981,4.4k,Auto Components | Gothenburg +64 other locations
781,Wistron,3.9,979,5.3k,Electronics Manufacturing | Taipei +22 other locations
782,Vestas,4.2,979,5k,Power | Aarhus +45 other locations
783,Amazon Logistics,4.3,979,3.8k,Logistics | Greater Noida +130 other locations
784,Sonata Software,3.5,977,10.8k,IT Services & Consulting | Bangalore/Bengaluru +11 other locations
785,PNB Housing Finance,3.8,975,4.1k,NBFC | Delhi/NCR +125 other locations
786,CreditAccess Grameen,4.3,975,2.5k,NBFC | Bangalore/Bengaluru +277 other locations
787,Decathlon,3.9,973,3.7k,Retail | Lille +61 other locations
788,iSON Xperiences,3.4,973,3.2k,Lagos +36 other locations
789,Slk Software Services,3.4,974,8.7k,IT Services & Consulting | Bangalore/Bengaluru +12 other locations
790,DENSO,4.2,973,3.7k,Auto Components | Kariya +36 other locations
791,The Jaypee Group,3.8,971,3.6k,Engineering & Construction | Noida +99 other locations
792,Best Sellers,4.2,970,3.1k,Fashion & Textile | Brande +85 other locations
793,Intel,4.3,969,8.2k,Semiconductors | Santa Clara +32 other locations
794,Worley,4.1,969,6.4k,Engineering & Construction | North Sydney +49 other locations
795,Fresenius Kabi,4.2,968,4.4k,Pharma | Bad Homburg +59 other locations
796,TE Connectivity,4.2,968,6.3k,Electronics Manufacturing | Schaffhausen +15 other locations
797,ManpowerGroup,3.9,966,4.9k,New Delhi +121 other locations
798,R Systems International,3.4,966,7.1k,Software Product | El Dorado Hills +17 other locations
799,ANZ Banking Group,4.1,962,7.5k,Financial Services | Melbourne +17 other locations
800,DISH TV,3.5,961,3.4k,Broadcasting | Noida +143 other locations
801,ANZ Banking Group,4.1,962,7.5k,Financial Services | Melbourne +17 other locations
802,TUV SUD,3.9,959,3.7k,Munich +102 other locations
803,GEP Worldwide,3.7,958,7.7k,IT Services & Consulting | Clark +11 other locations
804,Shriram Life Insurance,3.7,957,3.8k,Insurance | Hyderabad/Secunderabad +245 other locations
805,Bajaj Housing Finance,3.8,957,5.2k,NBFC | Pune +136 other locations
806,Luminous Power Technologies,4.2,960,3.4k,Consumer Electronics & Appliances | Gurgaon/Gurugram +113 other locations
807,Sunknowledge Services,3.9,955,2.9k,BPO | New York +11 other locations
808,OpenText Technologies,3.8,956,10k,Software Product | Waterloo +10 other locations
809,Saipem,4.1,954,3.2k,Engineering & Construction | San Donato Milanese +39 other locations
810,Tenneco,3.8,954,4.8k,Auto Components | Lake Forest +37 other locations
811,Apexon,3.3,956,8.5k,IT Services & Consulting | Santa Clara +16 other locations
812,Altimetrik,3.8,952,9.5k,IT Services & Consulting | Southfield +11 other locations
813,V5 Global Services,3.9,952,3.1k,Delhi/NCR +173 other locations
814,Baazar Retail Private Limited,4.7,952,1.1k,Retail | Kolkata +91 other locations
815,Acuity Knowledge Partners,3.4,949,9.1k,Analytics & KPO | London +13 other locations
816,iMerit,3.6,949,4.5k,IT Services & Consulting | Kolkata +12 other locations
817,AIIMS,4.2,945,4.4k,Healthcare | Delhi/NCR +57 other locations
818,JSW Cement,4.1,945,3.9k,Building Material | Mumbai +113 other locations
819,Chetu,3.2,948,7.5k,Software Product | Sunrise +10 other locations
820,Happiest Minds Technologies,3.8,944,10.1k,IT Services & Consulting | Bangalore / Bengaluru +14 other locations
821,Medhaj Techno Concept,4.2,944,2.1k,Other | Lucknow +147 other locations
822,PharmEasy,3.8,942,4.9k,Internet | Mumbai +56 other locations
823,Shriram Pistons & Rings,4.1,941,4.5k,Auto Components | Delhi/NCR +53 other locations
824,Airtel Payments Bank,4.1,941,4.4k,Delhi/NCR +236 other locations
825,Brillio,3.4,937,9.3k,IT Services & Consulting | Edison +13 other locations
826,Aditya Birla Finance,3.9,936,5.1k,NBFC | Mumbai +165 other locations
827,RBL FinServe,4.1,920,3k,Financial Services | Mumbai +299 other locations
828,Wind World,3.9,918,3.4k,Power | Mumbai +66 other locations
829,Intertek,3.7,916,3.8k,Other | London +87 other locations
830,Automotive Manufacturers,4.1,916,5.7k,Automobile | Mumbai +129 other locations
831,Shubham Housing Development Finance,3.9,916,2.9k,NBFC | Gurgaon +125 other locations
832,Hatsun Agro Product,4.0,914,4.3k,Food Processing | Chennai +106 other locations
833,Nippon Paint India,4.0,912,3.8k,Chemicals | Osaka +127 other locations
834,Aerial Telecom Solutions,4.4,909,2k,Telecom | Mohali +91 other locations
835,Nykaa,3.5,909,5.5k,Internet | Mumbai +89 other locations
836,GAIL,4.5,908,3.2k,Oil & Gas | Delhi/NCR +94 other locations
837,Zoho,4.3,909,7.3k,Software Product | Chennai +28 other locations
838,Godrej Consumer Products,4.2,908,4.4k,FMCG | Mumbai +117 other locations
839,ACG Worldwide,4.0,909,3.4k,Pharma | Mumbai +24 other locations
840,Thyrocare Technologies,3.5,907,4.3k,Healthcare | Mumbai +65 other locations
841,Kotak Mahindra Prime,4.0,909,4.4k,NBFC | Mumbai +138 other locations
842,Muthoot Microfin,4.4,906,2.3k,NBFC | Ernakulam +275 other locations
843,Karur Vysya Bank,3.7,909,3.8k,Banking | Karur +155 other locations
844,TEKsystems,3.4,909,9.1k,IT Services & Consulting | Hanover +14 other locations
845,Aircel,4.3,902,1.6k,Telecom | Gurgaon/Gurugram +113 other locations
846,Piaggio,3.6,902,3.9k,Automobile | Pontedera +74 other locations
847,Altisource,3.7,902,4.6k,Real Estate | Bangalore/Bengaluru +9 other locations
848,Coca-Cola Company,4.2,898,3.1k,Beverage | Atlanta +171 other locations
849,More Supermarket,3.8,897,3.5k,Retail | Mumbai +134 other locations
850,Qualcomm,3.8,898,11.4k,Semiconductors | San Diego +15 other locations
851,MedPlus,3.6,896,3.5k,Retail | Hyderabad +94 other locations
852,Samsung Research,3.2,896,8.4k,Consumer Electronics & Appliances | Seocho-gu +11 other locations
853,Mu Sigma,2.7,896,6.8k,Analytics & KPO | Northbrook +12 other locations
854,Ion Exchange India,3.8,896,4.5k,Waste Management | Mumbai +95 other locations
855,Spencer's Retail,3.8,894,3k,Retail | Kolkata +57 other locations
856,Sahara India Pariwar,3.8,894,2.6k,Broadcasting | Lucknow +230 other locations
857,Zydus Wellness,4.2,893,2.5k,FMCG | Ahmedabad +110 other locations
858,Bajaj Motors,3.9,893,3.4k,Automobile | Gurgaon +67 other locations
859,Johnson Lifts,4.0,890,3.5k,Chennai +67 other locations
860,Podar International School,4.2,890,2.9k,Education & Training | Mumbai +113 other locations
861,Kirloskar Oil Engines,4.2,888,3.8k,Industrial Machinery | Pune +93 other locations
862,Incedo,3.3,889,8.6k,IT Services & Consulting | Iselin +11 other locations
863,Nexa,4.0,887,2.5k,Automobile | Delhi/NCR +187 other locations
864,NielsenIQ,3.9,891,5.9k,IT Services & Consulting | Chicago +37 other locations
865,Atos Global IT Solutions And Services,4.0,885,7.9k,IT Services & Consulting | Navi Mumbai +17 other locations
866,PNC Infratech,3.9,885,3.3k,Engineering & Construction | Delhi/NCR +80 other locations
867,Novo Nordisk,4.1,885,5.3k,Pharma | New York City +64 other locations
868,Karma Ayurveda,4.5,883,398,Healthcare | Kota +5 other locations
869,Bharat Sanchar Nigam,4.0,881,2.7k,Telecom | Delhi/NCR +217 other locations
870,Episource,3.8,880,3.8k,IT Services & Consulting | Gardena +14 other locations
871,Nielsen,3.7,881,5.6k,Analytics & KPO | New York City +71 other locations
872,Parexel International,3.9,880,5.6k,Clinical Research | Durham +12 other locations
873,Fidelity Investments,4.3,878,8k,Financial Services | Boston +17 other locations
874,H.G. Infra Engineering,4.3,877,2.7k,Engineering & Construction | Jaipur +84 other locations
875,Jacobs Engineering Group,4.1,877,4.6k,Engineering & Construction | Dallas +38 other locations
876,PayPal,3.9,876,8.1k,FinTech | San Jose +13 other locations
877,Pacific BPO,3.4,874,4.3k,Healthcare | Noida +18 other locations
878,Kinara Capital,4.5,874,2k,NBFC | Bangalore +113 other locations
879,The Ramco Cements,4.2,874,3.5k,Building Material | Chennai +93 other locations
880,Aarvee Associates,4.0,875,3k,Engineering & Construction | Hyderabad/Secunderabad +137 other locations
881,Dhoot Transmission,3.7,874,3.9k,Power | Mumbai +32 other locations
882,Softenger,4.3,874,2.4k,IT Services & Consulting | Pune +32 other locations
883,Tata Consumer Products,3.7,873,4.3k,FMCG | Mumbai +173 other locations
884,Dassault Systemes,4.0,871,6.2k,Software Product | Velizy-villacoublay +10 other locations
885,Rockman Industries,3.9,869,3.8k,Auto Components | Delhi/NCR +31 other locations
886,Prodapt,3.6,868,8k,IT Services & Consulting | Chennai +11 other locations
887,Stanza Living,3.0,867,3.4k,Internet | New Delhi +31 other locations
888,Edelweiss Tokio Life Insurance,3.7,867,3.7k,Insurance | Mumbai +119 other locations
889,OM Logistics,3.9,867,3.3k,Delhi/NCR +107 other locations
890,ZF Steering Gear,3.7,865,6.1k,Auto Components | Pune +23 other locations
891,JK Lakshmi Cement,3.9,865,3.5k,Building Material | Delhi/NCR +118 other locations
892,Adani Ports and SEZ,3.9,865,3.9k,Ports & Shipping | Ahmedabad +56 other locations
893,Siemens Gamesa Renewable Power Private Limited,4.1,864,5k,Power | Chennai +57 other locations
894,Zf Rane Automotive,4.0,864,3.8k,Auto Components | Bavla +44 other locations
895,JW Marriott,4.1,863,2.2k,Hospitality | Bethesda +40 other locations
896,CenturyPly,3.8,862,3.8k,Furniture & Furnishing | Kolkata +108 other locations
897,Onward Technologies Inc,3.2,859,5.6k,Software Product | Mumbai +62 other locations
898,Barbeque Nation,4.0,858,2.6k,Hospitality | Bangalore/Bengaluru +71 other locations
899,Orchids International School,3.0,858,3.5k,Education & Training | Nasik/Nashik +30 other locations
900,HPCL-Mittal Energy Limited,4.3,859,4.4k,Petrochemicals | Noida +24 other locations
901,Strides Pharma,4.0,857,4.1k,Pharma | Bangalore/Bengaluru +31 other locations
902,Viraj Profiles,3.9,857,4.2k,Iron & Steel | Mumbai +21 other locations
903,Zepto,3.6,857,4k,Internet | Mumbai +35 other locations
904,Petrofac,4.4,855,2.8k,Oil & Gas | Jermyn Street +39 other locations
905,Colliers India,4.0,855,4.3k,Real Estate | Vancouver +37 other locations
906,Tikona Infinet,3.6,854,3k,Telecom | Mumbai +45 other locations
907,MDIndia Health Insurance TPA,3.8,854,3.5k,Insurance | Pune +77 other locations
908,SBFC Finance,3.7,852,2.5k,NBFC | Mumbai +169 other locations
909,Power Grid Corporation of India,4.3,852,2k,Power | Gurgaon/Gurugram +193 other locations
910,1point1 Solutions,3.4,848,3.1k,BPO | Navi Mumbai +15 other locations
911,Evision Technoserve,4.8,847,226,Recruitment | Delhi/NCR +63 other locations
912,Ceasefire Industries,3.2,846,2.6k,Industrial Machinery | New Delhi +72 other locations
913,Fusion Microfinance,4.1,846,2.5k,NBFC | Delhi +229 other locations
914,Gannon Dunkerley & Co.,3.8,845,2.2k,Engineering & Construction | Mumbai +71 other locations
915,TKIL,4.2,842,4.5k,Pune +49 other locations
916,Air India,3.8,841,4.2k,Aviation | Kinshasa +55 other locations
917,Adani Green Energy,4.1,841,4.4k,Power | Ahmedabad +81 other locations
918,Sri Chaitanya Educational Institutions,3.8,840,3k,Education & Training | Hyderabad/Secunderabad +87 other locations
919,Hyundai Mobis,3.9,841,4.8k,Auto Components | Kanchipuram +42 other locations
920,Northern Trust,3.8,839,7.7k,Financial Services | Mumbai +14 other locations
921,Piramal Pharma,4.0,836,4.8k,Pharma | Mumbai +58 other locations
922,Diageo,4.1,834,5.7k,Beverage | London +86 other locations
923,Syngenta,4.2,834,3.5k,Agriculture | Basel +148 other locations
924,Mando Automotive,3.9,830,4.6k,Auto Components | Kanchipuram +18 other locations
925,Genius Consultants,3.8,831,3.8k,Kolkata +80 other locations
926,Teva Pharmaceuticals,4.0,830,4.2k,Dublin +38 other locations
927,CALIBEHR,4.0,827,2.7k,IT Services & Consulting | Mumbai +142 other locations
928,Caratlane Trading,4.3,826,2.3k,Jewellery | Chennai +65 other locations
929,Infra.Market,4.1,827,2.6k,Building Material | Thane +79 other locations
930,Kendriya Vidyalaya Sangathan,4.4,827,1.7k,Education & Training | Delhi/NCR +216 other locations
931,The Akshaya Patra Foundation,4.6,825,2k,Non-Profit | Bangalore/Bengaluru +67 other locations
932,ICICI Prudential Mutual Fund,3.8,825,5.1k,Financial Services | New Delhi +141 other locations
933,V2 Retail,3.4,824,2.3k,Retail | Delhi/NCR +96 other locations
934,CarDekho,3.7,824,4.7k,Internet | Jaipur +70 other locations
935,Sundaram Finance,4.2,820,3.1k,NBFC | Chennai +218 other locations
936,Kirloskar Brothers,4.0,820,4.2k,Industrial Machinery | Pune +59 other locations
937,BGR Energy Systems,3.8,820,3.8k,Engineering & Construction | Chennai +52 other locations
938,Jubilant Pharmova,3.9,819,3.8k,Pharma | Noida +54 other locations
939,XcelServ Solutions,4.5,818,496,IT Services & Consulting | Las Vegas +35 other locations
940,Rashmi Metaliks,3.5,816,3.9k,Iron & Steel | Kolkata +27 other locations
941,eClinicalWorks,3.9,818,4.9k,Software Product | Westborough +12 other locations
942,Tube Investments of India,4.0,818,3.1k,Engineering & Construction | Chennai +57 other locations
943,TradeIndia (Infocom Network Private Limited),3.4,815,4.5k,Internet | Noida +39 other locations
944,Nasser S. Al Hajri Corporation,3.5,816,2k,Engineering & Construction | Al Jubail +47 other locations
945,KIMS Hospital,4.0,815,3.1k,Hyderabad/Secunderabad +43 other locations
946,Vistaar Finance,4.1,812,2.1k,NBFC | Bengaluru/Bangalore +171 other locations
947,iQor Global Services,3.6,813,2.6k,BPO | Saint Petersburg +49 other locations
948,Imperial Auto Industries,3.9,810,4.3k,Auto Components | Faridabad +35 other locations
949,Hindustan Zinc,3.9,810,4.3k,Metals & Mining | Udaipur +27 other locations
950,Shalby Hospitals,4.5,810,2k,Healthcare | Ahmedabad +22 other locations
951,Spandana Sphoorty Financial,3.8,809,2.3k,NBFC | Hyderabad/Secunderabad +244 other locations
952,JTEKT,4.2,811,3.9k,Auto Components | Osaka +24 other locations
953,TechnipFMC,4.0,809,5.3k,Industrial Machinery | Paris +41 other locations
954,Unicharm,4.1,809,2.7k,FMCG | Mita +152 other locations
955,Serco,4.4,809,1.5k,Analytics & KPO | Hook +39 other locations
956,Centre for Development of Advanced Computing,3.8,809,5.5k,IT Services & Consulting | Pune +31 other locations
957,AJIO,3.7,807,2.7k,Internet | Bengaluru +188 other locations
958,T-Systems ICT India,3.8,806,7.3k,IT Services & Consulting | Frankfurt +12 other locations
959,Metropolis Healthcare,4.1,804,3.4k,Healthcare | Mumbai +82 other locations
960,MakeMyTrip,3.7,804,6.6k,Internet | Gurgaon +37 other locations
961,Digit Insurance,3.8,803,4.1k,Insurance | Bengaluru/Bangalore +69 other locations
962,Salesforce,4.1,799,9.3k,Software Product | San Francisco +27 other locations
963,Nilkamal,3.9,800,3.3k,Furniture & Furnishing | Mumbai +97 other locations
964,Ahluwalia Contracts India,4.1,800,3k,Engineering & Construction | Delhi/NCR +50 other locations
965,Capital Numbers Infotech,4.6,799,1k,IT Services & Consulting | Kolkata +8 other locations
966,VIP Industries,3.8,799,3.2k,Retail | Mumbai +88 other locations
967,Consolidated Contractors,4.5,796,1.4k,Engineering & Construction | Marousi +50 other locations
968,Grant Thornton,3.7,797,9k,Chicago +46 other locations
969,Arvind Lifestyle Brands,4.1,794,2.4k,Retail | Bangalore / Bengaluru +83 other locations
970,Colgate Palmolive,4.2,794,4k,FMCG | New York +100 other locations
971,VeeTechnologies,3.8,794,4.4k,IT Services & Consulting | New York +32 other locations
972,Indium Software,4.0,795,5.5k,IT Services & Consulting | Chennai +10 other locations
973,Pizza Hut,3.9,793,2.1k,Hospitality | Plano +112 other locations
974,Secure Meters,4.1,793,4.3k,Electronics Manufacturing | Udaipur +68 other locations
975,Dana Anand,4.2,792,2.9k,Auto Components | Delhi/NCR +40 other locations
976,SHYAM METALICS AND ENERGY,3.6,791,3.5k,Iron & Steel | Kolkata +51 other locations
977,SitusAMC,3.4,790,4.6k,Software Product | Faridabad +18 other locations
978,Gmmco,4.1,790,2.6k,Industrial Machinery | Chennai +79 other locations
979,TK Elevator,4.0,790,3.8k,Industrial Machinery | Essen +69 other locations
980,Uber,4.2,789,7.4k,Internet | San Francisco +45 other locations
981,FLSmidth,3.7,790,4.5k,Copenhagen +21 other locations
982,Birla Corporation,4.2,788,3.4k,Building Material | Kolkata +124 other locations
983,Patra Corporation,3.8,790,4k,BPO | El Dorado Hills +15 other locations
984,LOREAL,4.0,787,3.6k,Beauty & Personal Care | Clichy +88 other locations
985,Vedanta Aluminium,3.9,787,4.2k,Metals & Mining | Jharsuguda +31 other locations
